inputsize,user,system,TT,elapsed,STS,text,rodata,data,bss
520000,0.22,0.00,0.22,0:00.25,0.167,1874,230,16,16
525000,0.26,0.00,0.26,0:00.33,0.173,1874,230,16,16
530000,0.22,0.00,0.22,0:00.24,0.141,1874,230,16,16
535000,0.23,0.02,0.25,0:00.31,0.141,1874,230,16,16
540000,0.22,0.00,0.22,0:00.25,0.153,1874,230,16,16
545000,0.26,0.00,0.26,0:00.32,0.141,1874,230,16,16
550000,0.24,0.01,0.25,0:00.31,0.17,1874,230,16,16
555000,0.23,0.00,0.23,0:00.27,0.16,1874,230,16,16
560000,0.24,0.00,0.24,0:00.27,0.143,1874,230,16,16
565000,0.24,0.00,0.24,0:00.32,0.17,1874,230,16,16
570000,0.24,0.00,0.24,0:00.31,0.142,1874,230,16,16
575000,0.24,0.00,0.24,0:00.27,0.153,1874,230,16,16
580000,0.24,0.00,0.24,0:00.33,0.169,1874,230,16,16
585000,0.24,0.00,0.24,0:00.33,0.159,1874,230,16,16
590000,0.26,0.00,0.26,0:00.32,0.15,1874,230,16,16
595000,0.26,0.00,0.26,0:00.33,0.156,1874,230,16,16
600000,0.26,0.00,0.26,0:00.33,0.149,1874,230,16,16
605000,0.27,0.00,0.27,0:00.35,0.146,1874,230,16,16
610000,0.27,0.00,0.27,0:00.34,0.159,1874,230,16,16
615000,0.26,0.00,0.26,0:00.34,0.169,1874,230,16,16
620000,0.27,0.00,0.27,0:00.35,0.161,1874,230,16,16
625000,0.26,0.01,0.27,0:00.35,0.166,1874,230,16,16
630000,0.26,0.00,0.26,0:00.34,0.144,1874,230,16,16
635000,0.26,0.01,0.27,0:00.35,0.167,1874,230,16,16
640000,0.28,0.00,0.28,0:00.35,0.14,1874,230,16,16
645000,0.27,0.01,0.28,0:00.35,0.143,1874,230,16,16
650000,0.27,0.00,0.27,0:00.35,0.157,1874,230,16,16
655000,0.28,0.00,0.28,0:00.35,0.166,1874,230,16,16
660000,0.29,0.00,0.29,0:00.36,0.144,1874,230,16,16
665000,0.28,0.01,0.29000000000000004,0:00.36,0.154,1874,230,16,16
670000,0.29,0.00,0.29,0:00.37,0.152,1874,230,16,16
675000,0.31,0.00,0.31,0:00.38,0.146,1874,230,16,16
680000,0.29,0.00,0.29,0:00.37,0.172,1874,230,16,16
685000,0.29,0.01,0.3,0:00.38,0.156,1874,230,16,16
690000,0.30,0.00,0.3,0:00.37,0.158,1874,230,16,16
695000,0.30,0.00,0.3,0:00.37,0.163,1874,230,16,16
700000,0.30,0.00,0.3,0:00.37,0.175,1874,230,16,16
705000,0.30,0.00,0.3,0:00.38,0.152,1874,230,16,16
710000,0.32,0.00,0.32,0:00.39,0.143,1874,230,16,16
715000,0.30,0.00,0.3,0:00.39,0.149,1874,230,16,16
720000,0.30,0.00,0.3,0:00.38,0.145,1874,230,16,16
725000,0.32,0.00,0.32,0:00.39,0.154,1874,230,16,16
730000,0.32,0.00,0.32,0:00.39,0.171,1874,230,16,16
735000,0.32,0.00,0.32,0:00.39,0.165,1874,230,16,16
740000,0.31,0.01,0.32,0:00.39,0.173,1874,230,16,16
745000,0.32,0.00,0.32,0:00.39,0.159,1874,230,16,16
750000,0.33,0.00,0.33,0:00.40,0.162,1874,230,16,16
755000,0.33,0.00,0.33,0:00.40,0.146,1874,230,16,16
760000,0.36,0.01,0.37,0:00.44,0.145,1874,230,16,16
765000,0.35,0.00,0.35,0:00.43,0.179,1874,230,16,16
770000,0.32,0.01,0.33,0:00.41,0.169,1874,230,16,16
775000,0.34,0.00,0.34,0:00.41,0.172,1874,230,16,16
780000,0.36,0.00,0.36,0:00.46,0.154,1874,230,16,16
785000,0.33,0.00,0.33,0:00.41,0.171,1874,230,16,16
790000,0.33,0.01,0.34,0:00.42,0.16,1874,230,16,16
795000,0.33,0.01,0.34,0:00.42,0.165,1874,230,16,16
800000,0.37,0.00,0.37,0:00.47,0.149,1874,230,16,16
805000,0.36,0.00,0.36,0:00.47,0.144,1874,230,16,16
810000,0.34,0.00,0.34,0:00.42,0.157,1874,230,16,16
815000,0.39,0.00,0.39,0:00.47,0.175,1874,230,16,16
820000,0.36,0.00,0.36,0:00.43,0.153,1874,230,16,16
825000,0.36,0.01,0.37,0:00.44,0.176,1874,230,16,16
830000,0.36,0.00,0.36,0:00.43,0.165,1874,230,16,16
835000,0.36,0.00,0.36,0:00.43,0.165,1874,230,16,16
840000,0.39,0.00,0.39,0:00.50,0.162,1874,230,16,16
845000,0.35,0.00,0.35,0:00.43,0.148,1874,230,16,16
850000,0.38,0.00,0.38,0:00.49,0.151,1874,230,16,16
855000,0.36,0.00,0.36,0:00.44,0.143,1874,230,16,16
860000,0.37,0.01,0.38,0:00.46,0.175,1874,230,16,16
865000,0.38,0.00,0.38,0:00.45,0.173,1874,230,16,16
870000,0.38,0.00,0.38,0:00.50,0.142,1874,230,16,16
875000,0.37,0.00,0.37,0:00.45,0.163,1874,230,16,16
880000,0.38,0.00,0.38,0:00.46,0.171,1874,230,16,16
885000,0.43,0.00,0.43,0:00.55,0.157,1874,230,16,16
890000,0.38,0.00,0.38,0:00.45,0.176,1874,230,16,16
895000,0.38,0.00,0.38,0:00.46,0.143,1874,230,16,16
900000,0.40,0.02,0.42000000000000004,0:00.52,0.151,1874,230,16,16
905000,0.39,0.00,0.39,0:00.46,0.161,1874,230,16,16
910000,0.39,0.00,0.39,0:00.47,0.14,1874,230,16,16
915000,0.41,0.01,0.42,0:00.53,0.159,1874,230,16,16
920000,0.40,0.00,0.4,0:00.47,0.145,1874,230,16,16
925000,0.40,0.00,0.4,0:00.48,0.171,1874,230,16,16
930000,0.40,0.00,0.4,0:00.48,0.173,1874,230,16,16
935000,0.41,0.00,0.41,0:00.48,0.158,1874,230,16,16
940000,0.40,0.00,0.4,0:00.49,0.167,1874,230,16,16
945000,0.41,0.00,0.41,0:00.53,0.174,1874,230,16,16
950000,0.40,0.01,0.41000000000000003,0:00.48,0.177,1874,230,16,16
955000,0.41,0.00,0.41,0:00.49,0.179,1874,230,16,16
960000,0.43,0.00,0.43,0:00.55,0.142,1874,230,16,16
965000,0.44,0.00,0.44,0:00.54,0.162,1874,230,16,16
970000,0.41,0.01,0.42,0:00.55,0.152,1874,230,16,16
975000,0.42,0.00,0.42,0:00.55,0.176,1874,230,16,16
980000,0.44,0.01,0.45,0:00.55,0.148,1874,230,16,16
985000,0.43,0.00,0.43,0:00.56,0.165,1874,230,16,16
990000,0.43,0.00,0.43,0:00.56,0.151,1874,230,16,16
995000,0.43,0.00,0.43,0:00.56,0.153,1874,230,16,16
1000000,0.44,0.00,0.44,0:00.57,0.156,1874,230,16,16
