inst#,actual,predicted,error
319,?,11.185,?
320,?,11.185,?
321,?,11.181,?
322,?,11.177,?
323,?,11.18,?
324,?,11.181,?
325,?,11.177,?
326,?,11.183,?
327,?,11.178,?
328,?,11.185,?
329,?,11.177,?
330,?,11.183,?
331,?,13.345,?
332,?,13.349,?
333,?,13.346,?
334,?,13.341,?
335,?,13.342,?
336,?,13.344,?
337,?,13.347,?
338,?,13.343,?
339,?,13.341,?
340,?,13.343,?
341,?,13.348,?
342,?,13.345,?
343,?,13.343,?
344,?,13.35,?
345,?,13.343,?
346,?,13.342,?
347,?,13.341,?
348,?,13.349,?
349,?,13.345,?
350,?,13.344,?
351,?,13.342,?
352,?,13.346,?
353,?,13.349,?
354,?,13.343,?
355,?,13.348,?
356,?,13.343,?
357,?,13.349,?
358,?,13.345,?
359,?,13.35,?
360,?,13.346,?
361,?,13.345,?
362,?,13.349,?
363,?,13.341,?
364,?,15.721,?
365,?,15.718,?
366,?,15.72,?
367,?,15.719,?
368,?,15.724,?
369,?,15.72,?
370,?,15.725,?
371,?,15.722,?
372,?,15.724,?
373,?,15.725,?
374,?,15.72,?
375,?,15.723,?
376,?,15.724,?
377,?,15.721,?
378,?,15.722,?
379,?,15.719,?
380,?,15.724,?
381,?,15.721,?
382,?,15.725,?
383,?,15.718,?
384,?,15.723,?
385,?,15.725,?
386,?,15.721,?
387,?,15.724,?
388,?,15.72,?
389,?,15.719,?
390,?,15.725,?
391,?,15.719,?
392,?,15.724,?
393,?,15.72,?
394,?,15.724,?
395,?,15.718,?
396,?,15.725,?
397,?,18.263,?
398,?,18.261,?
399,?,18.261,?
400,?,18.26,?
401,?,18.258,?
402,?,18.263,?
403,?,18.265,?
404,?,18.263,?
405,?,18.265,?
406,?,18.261,?
407,?,18.266,?
408,?,18.262,?
409,?,18.26,?
410,?,18.265,?
411,?,18.26,?
412,?,18.26,?
413,?,18.265,?
414,?,18.267,?
415,?,18.263,?
416,?,18.259,?
417,?,18.261,?
418,?,18.266,?
419,?,18.264,?
420,?,18.26,?
421,?,18.264,?
422,?,18.26,?
423,?,18.261,?
424,?,18.265,?
425,?,18.266,?
426,?,18.26,?
427,?,18.259,?
428,?,18.259,?
429,?,18.258,?
430,?,21.072,?
431,?,21.067,?
432,?,21.069,?
433,?,21.067,?
434,?,21.07,?
435,?,21.069,?
436,?,21.066,?
437,?,21.071,?
438,?,21.069,?
439,?,21.068,?
440,?,21.071,?
441,?,21.069,?
442,?,21.07,?
443,?,21.066,?
444,?,21.067,?
445,?,21.069,?
446,?,21.069,?
447,?,21.068,?
448,?,21.072,?
449,?,21.069,?
450,?,21.07,?
451,?,21.068,?
452,?,21.068,?
453,?,21.072,?
454,?,21.066,?
455,?,21.071,?
456,?,21.065,?
457,?,21.07,?
458,?,21.065,?
459,?,21.064,?
460,?,21.07,?
461,?,21.066,?
462,?,21.065,?
463,?,23.959,?
464,?,23.961,?
465,?,23.96,?
466,?,23.959,?
467,?,23.967,?
468,?,23.966,?
469,?,23.96,?
470,?,23.959,?
471,?,23.959,?
472,?,23.963,?
473,?,23.962,?
474,?,23.959,?
475,?,23.963,?
476,?,23.961,?
477,?,23.964,?
